Country,Dart,f,Go,Hadoop,Haskell,iOS,Java,JavaScript,lamp,Matlab,MongoDB,Node_js,Objective_C,Perl,php,Python,r,Redis,Ruby,Rust,Salesforce,Scala,Sharepoint,Spark,sql,SQL_Server,Swift,Visual_Basic,Windows_Phone,Wordpress
Morocco,0,0,0,0,0,2,7,8,3,1,2,2,3,1,7,3,1,1,1,0,0,0,0,0,8,3,0,4,0,4
Mozambique,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Myanmar, {Burma}",0,0,0,0,0,0,5,5,0,0,2,2,0,0,3,1,0,0,0,0,0,0,0,0,3,2,0,1,0,1
Namibia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,0,0,0,0,0,1,8,11,4,1,4,5,1,0,14,6,1,2,0,0,0,0,0,0,10,2,0,1,1,7
Netherlands,1,5,13,9,11,52,209,358,55,23,39,83,40,17,252,119,14,20,44,0,1,15,9,1,279,106,16,43,18,67
New Zealand,2,1,3,0,2,7,42,78,12,4,8,21,8,8,35,36,6,0,12,1,1,1,1,0,58,34,3,14,6,9
Nicaragua,0,0,0,0,0,0,2,4,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0
Nigeria,0,0,0,0,0,0,6,14,1,1,1,2,0,0,10,2,0,0,0,0,0,0,1,0,8,3,0,2,1,2
Norway,0,0,4,1,6,16,55,79,10,1,15,25,14,7,35,35,1,7,9,3,0,3,2,0,55,16,4,7,3,14
Oman,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Other,0,0,0,0,0,0,3,2,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Pakistan,0,1,1,1,0,11,40,52,4,3,6,12,13,3,38,11,0,2,11,0,1,0,2,0,43,27,5,10,4,17
Panama,0,0,1,0,0,0,0,5,2,0,1,2,1,0,3,2,0,0,0,0,0,0,0,0,3,2,1,0,0,2
Paraguay,0,0,0,0,1,0,4,4,0,1,0,1,0,1,2,2,1,1,2,0,0,0,0,0,3,1,0,1,0,1
Peru,0,1,0,0,0,0,9,15,0,1,2,3,0,0,3,8,2,1,2,0,0,0,0,0,9,8,0,2,0,3
Philippines,0,1,2,0,2,1,36,34,6,0,2,6,2,2,35,13,0,2,2,0,1,0,0,0,33,14,1,22,2,5
Poland,2,4,5,6,13,41,250,346,37,40,54,83,43,18,221,183,22,26,71,2,2,29,4,4,272,76,17,21,21,63
Portugal,1,0,2,1,4,9,97,103,16,6,17,24,10,5,72,43,4,9,14,0,1,3,1,0,92,38,3,19,5,6
Qatar,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0
Romania,0,1,3,1,2,9,45,91,21,8,11,22,7,3,59,22,2,3,10,1,0,5,1,0,72,29,4,9,3,22
Russian Federation,4,7,14,11,19,51,203,272,37,17,52,72,47,23,132,153,23,33,52,6,1,20,5,2,222,75,19,15,20,25
Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,0,0,0,1,1,5,11,12,0,0,2,2,3,0,9,7,1,2,2,0,0,1,2,0,12,7,1,3,1,2
Senegal,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
Serbia,0,0,2,0,1,6,30,48,9,1,11,13,5,2,33,19,1,3,5,1,0,2,1,1,34,9,5,2,2,11
Sierra Leone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Singapore,0,0,1,1,0,6,27,25,5,1,4,8,3,0,15,15,3,1,4,0,0,0,1,0,16,12,1,2,0,5
Slovakia,0,0,1,1,0,7,26,30,2,0,6,13,7,0,25,13,0,1,2,0,0,2,0,0,29,8,4,2,2,6
Slovenia,0,1,0,1,2,1,37,34,5,4,6,10,2,0,23,16,1,4,4,0,0,1,0,1,21,12,0,1,5,7
Solomon Islands,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Somalia,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,0,1,4,0,0,8,46,74,7,1,8,10,5,0,37,17,1,2,6,0,2,1,1,0,62,37,5,8,3,15
South Sudan,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
Spain,1,2,9,6,4,56,238,293,58,21,58,84,50,9,170,105,24,17,41,1,2,12,7,4,235,75,14,37,16,61
Sri Lanka,0,0,0,0,0,4,29,26,7,2,1,0,2,1,18,2,1,0,3,0,1,0,0,0,26,10,1,10,1,6
Sudan,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Swaziland,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Sweden,4,3,12,3,14,54,164,259,29,14,36,72,46,12,131,110,8,21,35,6,1,12,6,1,169,81,19,26,14,46
Switzerland,1,2,7,2,6,34,133,149,21,29,31,44,26,17,106,91,15,16,13,0,2,13,5,0,147,37,14,25,5,22
Syria,0,0,0,0,0,2,5,6,0,1,0,1,2,1,4,2,0,0,1,0,0,0,0,0,7,1,2,1,1,0
Taiwan,0,0,2,0,0,5,11,24,2,2,3,7,4,1,12,8,0,1,3,0,0,1,0,0,11,2,3,2,1,2
Tajikistan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,0,0,0,0,0,0,1,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Thailand,0,0,1,1,0,5,8,35,7,1,11,13,6,2,17,10,1,5,10,0,0,1,1,0,21,6,5,2,1,9
Togo,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1
Trinidad & Tobago,0,0,0,0,0,1,1,4,1,0,1,2,0,0,4,1,0,0,0,0,0,0,1,0,3,2,1,0,0,0
Tunisia,0,0,0,1,0,0,8,9,3,1,2,1,1,1,7,3,1,0,0,0,0,0,2,0,9,6,0,1,1,3
Turkey,0,2,3,6,4,28,93,110,10,15,23,34,24,3,65,37,4,17,9,0,3,7,3,1,92,35,11,14,7,23
Turkmenistan,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Uganda,0,0,0,0,0,0,3,2,0,0,0,0,0,1,2,2,1,0,2,0,0,0,0,0,2,0,0,0,0,0
Ukraine,0,0,5,3,2,19,62,114,17,3,18,29,16,6,59,38,4,13,19,2,2,11,1,2,76,15,9,4,2,17
United Arab Emirates,0,0,0,0,0,4,6,20,3,0,5,7,4,0,11,9,0,3,4,1,0,1,3,1,14,9,3,6,2,4
United Kingdom,11,33,38,31,41,151,595,1217,247,75,165,275,132,79,610,500,69,84,161,7,23,57,42,14,944,555,56,240,61,225
United States,17,40,124,91,68,442,1391,2409,406,160,335,632,386,197,872,1248,191,200,468,22,49,136,91,29,1888,979,197,384,74,323
Uruguay,0,0,1,0,1,4,14,24,3,0,5,6,3,1,8,9,1,1,3,0,1,1,0,0,15,5,3,5,3,2
Uzbekistan,0,0,0,0,0,1,1,3,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vatican City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,0,0,0,1,2,1,17,20,2,5,2,5,0,1,18,15,2,0,3,0,2,0,0,0,14,7,0,4,2,6
Vietnam,0,0,1,0,0,8,26,33,5,1,6,11,9,0,28,11,0,3,3,1,1,0,0,0,24,10,3,3,4,6
Zambia,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Zimbabwe,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
