Country,Rather_not_Say,Unemployed,Less_than_twentyK,twentyK_fortyK,fortyK_sixtyK,sixtyK_eightyK,eightyK_hundredK,hundredK_HtwentyK,HtwentyK_HfortyK,HfortyK_HsixtyK,More_than_HsixtyK
Mexico,23,9,59,32,12,1,0,1,0,0,0
Moldova,0,0,6,2,0,0,0,0,0,0,0
Mongolia,0,0,2,0,1,0,0,0,0,0,0
Montenegro,1,0,1,0,0,0,0,0,0,0,0
Morocco,2,2,5,3,0,0,0,0,0,0,0
"Myanmar, {Burma}",1,0,5,1,0,0,0,0,0,0,0
Namibia,0,0,0,0,0,1,0,0,0,0,0
Nepal,6,2,12,2,1,0,0,0,0,0,0
Netherlands,95,65,64,72,92,58,32,10,8,5,3
New Zealand,24,9,9,10,30,18,16,10,1,0,1
Nicaragua,1,0,4,1,0,0,0,0,0,0,0
Nigeria,0,2,10,2,0,0,0,0,0,0,0
Norway,8,15,4,2,10,31,31,11,13,2,0
Oman,0,1,0,0,0,0,0,0,0,1,0
Other,1,1,0,0,0,0,0,0,0,0,0
Pakistan,10,11,51,5,1,0,3,0,0,0,0
Panama,0,1,0,2,2,0,0,0,0,0,0
Paraguay,0,2,2,2,1,0,0,0,0,0,0
Peru,2,1,12,6,1,2,0,1,0,0,0
Philippines,11,13,30,7,0,1,0,0,0,0,1
Poland,91,90,203,157,43,10,4,1,1,1,0
Portugal,13,35,70,29,9,5,1,1,0,0,0
Qatar,1,1,0,0,0,0,0,0,0,1,0
Romania,27,10,51,38,13,3,1,1,0,0,1
Russian Federation,84,34,192,91,26,13,4,2,1,0,2
San Marino,0,0,0,1,0,0,0,0,0,0,0
Saudi Arabia,3,4,3,5,2,3,1,1,0,0,0
Senegal,0,0,0,1,0,0,0,0,0,0,0
Serbia,13,15,29,10,2,1,0,0,0,0,0
Sierra Leone,0,0,0,0,0,0,0,0,0,0,1
Singapore,6,4,4,13,14,3,3,2,3,0,1
Slovakia,11,8,15,14,2,0,0,0,0,0,0
Slovenia,9,12,16,17,6,2,1,1,0,0,0
Solomon Islands,0,0,1,0,0,0,0,0,0,0,0
Somalia,0,1,0,0,0,0,0,0,0,0,0
South Africa,19,6,17,30,17,6,3,3,2,0,1
South Sudan,0,0,0,0,1,0,0,0,0,0,0
Spain,45,45,111,174,63,26,11,1,1,0,3
Sri Lanka,4,9,24,3,1,1,1,1,0,1,0
Sudan,1,0,1,0,0,0,0,0,0,0,0
Swaziland,1,0,0,0,0,1,0,1,0,0,0
Sweden,50,50,22,46,112,83,26,12,3,1,4
Switzerland,36,18,39,10,16,42,52,46,11,12,18
Syria,1,2,0,1,0,0,0,0,0,0,0
Taiwan,4,3,12,13,7,0,0,0,0,0,0
Tanzania,0,1,1,0,0,0,0,0,0,0,0
Thailand,4,1,18,7,4,4,2,0,1,0,0
Trinidad & Tobago,1,0,2,1,0,0,1,0,0,0,0
Tunisia,0,1,14,1,0,1,0,0,0,0,0
Turkey,22,21,57,40,19,5,0,2,0,1,1
Turkmenistan,0,0,2,0,0,0,0,0,0,0,0
Uganda,1,1,1,0,0,0,0,0,0,0,0
Ukraine,16,12,56,48,14,6,2,0,0,0,0
United Arab Emirates,6,3,5,6,4,5,4,0,1,0,0
United Kingdom,260,185,97,251,399,292,161,112,71,36,73
United States,432,316,214,185,371,602,611,523,337,162,253
Uruguay,4,2,8,6,5,3,5,2,1,0,0
Uzbekistan,1,0,2,2,0,0,0,0,0,0,0
Venezuela,4,7,12,5,1,1,0,0,0,0,0
Vietnam,6,9,29,5,0,0,0,1,0,0,0
Zambia,0,0,0,0,0,0,0,0,0,0,0
