Country,Software_Products,Web_Services,Other_(please specify),Finance_Banking,Internet,Consulting,Media_Advertising,Healthcare,Education,Telecommunications,Manufacturing,Government,Consumer_Products,Retail,Gaming,Defense,Aerospace,Non_Profit,Student,Not_Currently_Employed
Algeria,5,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Jordan,4,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
Malta,3,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
Morocco,0,2,1,2,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
"Myanmar, {Burma}",3,2,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0
Cyprus,2,2,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Dominican Republic,1,0,1,0,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0
Albania,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
Azerbaijan,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0
Iceland,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Bahrain,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0
Nicaragua,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Paraguay,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Trinidad & Tobago,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Cambodia,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
Ecuador,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0
Ethiopia,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
Panama,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ghana,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Kyrgyzstan,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Luxembourg,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Other,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Barbados,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Jamaica,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Madagascar,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Montenegro,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Qatar,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Somalia,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Syria,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua & Deps,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bhutan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cameroon,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Korea North,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
San Marino,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sudan,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
