Country,Full_stack_web_developer,Student,Back_end_web_developer,Desktop_developer,Front_end_web_developer,Mobile developer - Android,Mobile developer - iOS,Embedded application developer,Enterprise level services developer,Developer with a statistics or mathematics background,Data scientist,"Executive (VP of Eng., CTO, CIO, etc.)",Mobile developer,System administrator,DevOps,Business intelligence or data warehousing expert,Quality Assurance,Graphics programmer,Product manager,Designer,Machine learning developer,Database administrator,Growth hacker,Mobile developer - Windows Phone
Ireland {Republic},49,31,17,5,10,6,6,3,5,1,4,1,1,5,5,0,3,0,0,0,0,2,0,0
Israel,53,14,12,10,7,10,4,2,7,4,1,5,6,0,5,2,1,0,3,0,5,0,4,0
Italy,139,69,32,40,22,17,10,10,4,11,8,9,10,7,2,3,2,10,4,4,2,2,3,0
Jamaica,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,13,4,2,3,0,2,6,4,1,0,1,1,3,0,1,0,1,0,0,0,0,0,1,0
Jordan,2,0,1,2,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
Kazakhstan,6,2,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,7,0,4,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Korea North,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Korea South,14,11,8,2,5,9,1,4,3,0,0,0,2,3,1,1,0,2,1,2,2,1,1,0
Kosovo,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyzstan,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laos,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Latvia,34,3,4,0,4,1,2,4,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0
Lebanon,3,2,1,2,2,3,1,0,1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0
Liechtenstein,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,28,6,11,1,2,4,1,0,2,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
Luxembourg,1,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia,10,2,5,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,18,7,6,3,0,2,5,4,0,0,1,1,0,2,1,2,1,0,1,1,0,0,1,0
Maldives,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,5,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mauritania,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mexico,47,13,19,13,7,4,4,3,6,3,4,1,4,4,1,3,0,1,1,2,1,1,0,0
Moldova,5,0,2,0,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mongolia,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,3,3,1,1,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Mozambique,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myanmar, {Burma}",6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,10,4,5,0,2,3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Netherlands,159,92,65,35,36,15,7,10,12,12,9,9,12,7,10,9,4,5,1,5,2,0,1,0
New Zealand,40,26,12,7,8,6,2,4,5,1,7,0,5,4,1,1,1,1,2,2,2,1,2,1
Nicaragua,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,8,3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Norway,43,20,14,16,4,2,4,5,3,4,1,3,5,1,1,1,2,1,3,1,0,0,0,1
Oman,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,28,11,14,7,4,11,10,1,2,0,0,2,4,0,0,1,1,0,2,1,1,0,0,0
Panama,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,10,3,5,3,1,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0
Philippines,16,18,9,3,9,6,0,3,2,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0
Poland,196,98,84,43,46,30,17,28,17,15,6,8,13,10,7,4,6,3,2,4,3,3,1,5
Portugal,51,45,17,13,10,10,3,4,5,2,3,2,3,4,2,2,0,1,1,1,0,1,1,0
Qatar,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,59,12,22,17,9,7,4,1,5,4,2,0,8,1,1,0,0,2,2,1,0,0,0,0
Russia,152,43,78,61,30,25,23,9,13,14,6,7,15,6,3,8,13,6,4,2,6,3,1,0
Rwanda,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,6,2,2,1,4,2,0,0,1,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0
Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Serbia,26,15,9,2,8,3,1,2,1,1,0,0,2,1,0,0,1,1,1,1,1,0,0,0
Sierra Leone,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,14,4,6,5,0,7,0,4,2,3,2,3,1,1,1,0,0,0,0,0,1,0,1,0
Slovakia,14,9,6,6,5,3,4,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0
Slovenia,20,12,4,5,5,4,0,2,4,0,1,1,1,1,2,0,0,1,0,0,0,0,0,1
Solomon Islands,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,50,2,8,9,3,8,3,3,5,5,0,4,1,1,1,1,0,0,1,1,0,0,0,0
South Sudan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,182,51,37,34,21,31,18,15,12,10,19,8,12,9,14,1,2,6,2,3,3,3,2,1
Sri Lanka,12,11,10,7,2,0,3,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Sudan,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,138,64,48,25,27,9,14,28,9,9,6,6,8,7,7,2,1,10,2,3,1,3,1,1
Switzerland,75,56,23,41,11,10,5,20,8,11,11,4,2,8,5,1,0,3,2,1,8,2,1,0
Syria,2,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan,16,5,2,1,3,4,2,2,1,0,0,1,0,2,0,0,0,0,0,3,0,0,0,1
Tajikistan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,16,3,6,3,5,2,3,1,0,1,0,3,2,2,0,0,0,0,0,1,0,0,0,0
Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Trinidad & Tobago,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia,10,2,1,1,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0
Turkey,49,16,36,14,10,7,4,5,4,2,1,6,6,1,0,0,1,4,1,3,3,3,0,0
Turkmenistan,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ukraine,67,10,18,12,14,10,11,5,4,3,3,1,1,2,2,1,3,7,1,0,1,0,2,2
United Arab Emirates,17,1,7,1,2,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
United Kingdom,712,256,191,166,108,34,36,50,69,50,48,37,28,29,41,29,7,11,9,15,12,7,1,2
United States,1371,516,310,326,216,86,130,121,136,105,106,98,58,80,71,43,45,29,36,21,23,34,10,3
Uruguay,15,5,5,2,3,1,2,0,0,0,0,0,1,2,1,0,0,0,1,0,1,1,0,0
Uzbekistan,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vatican City,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Venezuela,15,7,3,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Vietnam,25,8,4,3,4,9,4,0,2,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1
Zambia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
