Country,Dart,f,Go,Hadoop,Haskell,iOS,Java,JavaScript,lamp,Matlab,MongoDB,Node_js,Objective_C,Perl,php,Python,r,Redis,Ruby,Rust,Salesforce,Scala,Sharepoint,Spark,sql,SQL_Server,Swift,Visual_Basic,Windows_Phone,Wordpress
Cameroon,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Canada,20,25,77,30,44,106,191,296,32,17,67,170,60,26,111,215,38,46,111,26,5,39,13,9,190,71,78,32,28,31
Chile,1,0,2,1,0,2,8,19,1,1,5,10,1,0,10,19,5,3,5,3,0,1,1,0,14,7,2,3,2,2
China,2,1,27,6,9,43,54,62,6,5,15,35,21,2,25,66,7,13,35,5,0,8,0,5,32,7,30,3,3,3
Colombia,2,0,3,0,2,13,6,14,1,1,9,10,6,1,6,12,4,0,6,1,0,2,1,0,6,3,5,2,2,1
Congo {Democratic Rep},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,0,1,2,2,0,4,7,10,1,0,7,5,1,0,5,7,2,0,7,2,0,2,1,1,4,3,1,1,1,3
Croatia,0,3,0,2,3,7,18,28,1,1,5,10,3,2,12,10,1,3,7,1,0,4,0,1,27,8,5,0,3,3
Cuba,0,1,0,0,1,2,3,3,2,0,1,2,1,0,2,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0
Cyprus,0,0,1,2,1,1,4,5,1,1,0,3,2,0,4,4,0,0,2,0,0,0,0,0,3,0,0,0,0,0
Czech Republic,7,9,13,7,14,18,69,81,6,3,16,40,11,9,52,67,8,8,21,3,0,16,2,2,67,27,16,2,13,10
Denmark,9,18,21,9,13,31,65,116,6,11,25,55,15,7,60,58,19,11,18,6,0,7,1,6,62,34,24,6,12,13
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,1,0,1,0,1,1,0,4,0,0,1,4,0,0,1,2,0,1,3,0,0,0,0,0,0,0,1,0,0,1
Ecuador,0,0,1,0,1,2,3,2,0,0,2,2,2,1,0,2,1,0,3,1,0,2,0,0,3,2,1,1,1,1
Egypt,0,0,3,2,2,8,21,27,2,0,4,16,5,2,17,14,2,2,12,1,2,4,3,1,12,9,5,2,5,4
El Salvador,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
Estonia,1,3,1,2,4,2,16,21,1,2,3,6,1,0,12,12,3,2,4,2,0,6,1,1,14,4,5,2,4,4
Ethiopia,0,0,0,1,1,0,1,1,0,0,1,2,1,1,1,2,1,0,1,0,0,0,0,0,0,1,0,1,0,0
Finland,4,9,13,6,19,29,59,102,14,7,27,50,12,6,32,58,11,12,19,14,1,23,3,3,54,17,22,7,15,11
France,18,17,58,20,31,68,165,240,24,10,83,160,36,16,120,201,30,35,75,26,0,39,3,12,122,38,62,9,23,20
Gabon,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,2,0,0,1,1,0,2,0,1,1,0,0,0,0,0
Georgia,0,2,2,2,0,3,5,12,1,0,5,10,2,0,4,5,0,2,8,0,0,2,0,0,5,4,6,1,2,1
Germany,33,38,130,37,94,170,579,661,59,45,156,285,97,50,365,436,86,67,155,60,5,108,15,13,442,124,156,42,81,67
Ghana,0,0,0,0,0,2,1,2,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Greece,2,3,8,7,5,11,44,44,8,3,15,22,6,5,33,34,6,5,14,2,0,7,1,4,31,8,9,2,9,7
Guatemala,0,0,2,0,1,1,7,3,1,1,0,2,0,0,3,3,0,0,1,0,0,0,0,0,2,1,2,0,1,1
Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,0,0,0,0,0,1,2,4,0,0,0,1,1,0,4,2,0,0,3,0,0,0,0,0,1,1,1,1,0,0
Hungary,0,7,9,5,7,13,55,53,6,7,10,28,9,6,29,36,3,5,12,4,0,12,0,3,38,15,13,6,3,5
Iceland,0,0,3,0,1,3,4,3,0,0,3,2,1,0,2,7,0,0,1,2,0,0,0,0,3,2,0,0,0,0
India,12,17,86,209,51,273,631,619,58,37,224,341,141,54,354,399,85,58,154,11,35,78,41,38,389,259,126,72,109,120
Indonesia,2,0,5,5,1,8,28,40,4,2,7,17,3,4,38,20,1,4,17,0,1,2,1,1,37,16,4,7,3,5
Iran,2,8,12,13,8,18,63,70,3,5,26,37,8,4,44,43,3,7,15,5,0,11,2,3,43,35,12,5,16,12
Iraq,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ireland {Republic},3,4,12,4,10,26,56,68,4,2,22,35,16,3,16,54,8,7,26,6,1,12,3,6,30,14,28,6,7,8
Israel,8,8,14,18,11,22,58,63,5,10,26,48,11,4,17,53,9,10,17,6,1,20,0,11,31,11,14,1,6,5
Italy,12,10,23,17,17,66,153,170,32,13,57,98,36,11,106,114,16,22,33,7,0,32,3,8,105,33,43,12,29,34
Jamaica,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1
Japan,2,2,12,1,11,14,16,17,2,0,4,9,7,2,1,23,6,3,4,3,1,7,0,0,5,1,14,1,1,0
Jordan,0,1,0,2,0,3,5,6,0,1,2,2,1,0,1,2,3,1,1,0,0,1,1,1,3,3,1,0,1,0
Kazakhstan,2,0,2,1,0,3,10,9,1,0,2,5,1,0,5,4,1,3,3,0,0,2,1,1,6,2,1,0,1,0
Kenya,0,0,2,2,2,0,4,4,0,0,3,7,0,0,2,11,2,3,5,1,0,1,0,0,5,0,2,0,0,0
Korea North,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Korea South,1,1,13,6,3,5,16,25,1,1,8,13,5,3,6,26,8,4,6,5,1,13,0,4,13,4,8,3,1,0
Kosovo,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Kuwait,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Kyrgyzstan,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Laos,0,0,0,0,0,1,2,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,2,0,1
Latvia,2,1,1,0,3,7,14,26,1,0,7,15,5,0,18,13,2,4,5,1,0,4,0,0,18,4,3,0,5,1
Lebanon,0,0,1,1,0,2,6,6,1,1,1,4,3,1,2,6,0,1,1,0,0,0,0,0,6,3,2,0,1,1
Liechtenstein,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
Lithuania,0,2,7,6,3,6,18,23,2,0,8,12,1,1,15,14,1,10,6,5,0,8,0,1,16,5,3,2,3,3
Luxembourg,0,0,1,1,0,0,2,1,1,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,2,1,1,0,0,0
Macedonia,0,1,1,3,1,4,9,11,2,0,5,5,1,0,9,2,1,3,1,1,0,0,0,0,8,4,0,1,0,0
Madagascar,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
Malaysia,0,1,5,4,2,8,21,23,2,1,9,8,6,0,14,4,3,3,5,1,0,3,1,1,12,5,6,3,3,4
Maldives,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Malta,1,1,1,2,0,3,6,7,0,0,2,4,1,1,3,2,0,2,2,0,0,0,0,0,3,3,0,0,2,1
Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1
Mexico,3,4,9,7,4,36,36,54,8,5,23,39,19,7,37,39,9,4,23,2,0,7,1,3,39,23,25,8,12,12
Moldova,0,0,1,1,1,3,2,3,1,0,1,3,2,0,4,1,0,1,2,0,0,1,0,0,3,0,1,0,2,1
Mongolia,1,0,0,0,0,1,0,2,0,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Montenegro,0,0,0,0,0,1,1,1,0,1,0,0,0,0,2,1,0,0,2,0,0,0,0,0,2,1,1,0,0,1
Morocco,0,0,1,2,0,2,3,3,0,0,1,5,2,1,3,5,1,1,4,1,0,0,0,1,3,3,2,1,1,1
Mozambique,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Myanmar, {Burma}",0,0,1,0,0,1,4,5,0,0,2,3,0,0,3,2,0,0,1,0,0,0,0,0,4,2,2,0,0,0
Namibia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nepal,1,0,4,3,1,2,9,8,1,0,6,7,1,0,9,9,2,1,4,0,0,0,0,1,3,1,4,0,1,2
Netherlands,11,26,43,20,29,70,142,240,24,15,54,115,36,14,153,134,30,20,59,15,1,35,7,6,163,52,50,17,30,31
New Zealand,2,11,11,1,6,20,31,60,6,2,9,29,10,9,15,41,12,8,19,10,0,3,1,0,29,18,17,2,8,5
Nicaragua,0,0,1,0,0,1,3,3,1,0,1,0,0,1,1,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0
Nigeria,0,0,1,2,0,2,6,10,0,0,4,5,2,2,8,5,1,0,3,0,0,0,1,0,4,4,0,2,4,2
Norway,1,12,13,4,12,22,40,69,4,1,13,35,14,1,25,39,7,12,12,6,0,5,1,1,32,7,22,3,6,5
Oman,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Other,0,0,0,0,0,1,2,1,0,0,1,1,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Pakistan,1,1,2,6,0,20,42,34,2,4,9,18,13,1,27,20,2,4,13,1,0,1,6,0,28,13,15,5,7,9
Panama,0,0,2,2,0,0,1,2,0,0,3,4,1,0,3,0,1,1,2,0,0,1,0,1,1,0,1,0,0,1
Paraguay,0,1,0,0,0,1,4,4,0,1,0,3,0,1,1,2,1,0,2,0,0,0,0,0,2,2,2,0,1,1
Peru,1,4,1,2,1,1,5,13,2,2,6,7,1,2,5,12,3,2,8,1,1,4,2,1,5,2,2,1,3,1
Philippines,2,2,5,4,4,15,21,31,5,1,5,8,11,5,20,16,3,3,5,1,2,2,2,1,17,8,2,4,6,9
Poland,4,29,36,20,41,67,200,253,18,14,71,115,37,17,123,206,26,32,92,15,2,74,3,13,156,43,52,8,33,23
Portugal,3,2,11,7,10,27,64,80,11,5,21,39,18,11,65,47,4,14,30,6,1,21,1,3,61,26,20,13,12,10
Qatar,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0
Romania,3,9,6,3,10,26,45,76,11,2,25,45,16,3,46,40,7,15,19,4,0,15,0,0,41,24,18,2,14,8
Russian Federation,6,18,53,22,55,67,166,185,13,6,58,88,43,12,59,155,31,35,61,42,2,52,3,10,123,43,62,4,37,11
Rwanda,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Saudi Arabia,0,1,3,3,0,8,12,9,0,0,3,7,3,1,9,8,3,3,3,0,0,1,3,1,7,5,7,0,2,2
Senegal,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,0,1,7,3,4,12,26,31,5,1,12,16,5,3,21,19,5,3,7,4,0,7,2,0,20,6,9,2,3,3
Sierra Leone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Singapore,1,1,5,4,5,8,12,16,2,3,7,11,4,3,10,21,10,3,11,2,1,4,1,3,12,5,8,3,2,1
Slovakia,1,1,2,1,0,9,17,14,3,0,8,14,7,0,13,8,2,1,5,1,0,4,0,0,17,6,6,1,2,2
Slovenia,1,3,7,3,6,5,25,23,3,3,7,14,1,0,16,21,3,1,6,0,0,3,0,2,14,6,2,1,4,1
Solomon Islands,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,3,4,12,2,7,19,39,46,2,0,11,26,4,2,19,24,4,6,15,3,3,6,3,2,40,21,14,3,8,8
South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Spain,12,12,40,28,18,74,175,189,24,9,91,127,43,6,98,142,32,23,56,7,1,31,7,11,102,36,60,16,29,30
Sri Lanka,0,1,0,4,1,5,25,22,2,3,4,10,2,1,12,11,4,2,3,0,1,2,0,0,19,9,3,3,2,1
Sudan,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Swaziland,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Sweden,9,20,51,16,43,65,113,201,13,15,66,102,30,12,63,119,14,23,46,30,1,35,7,5,93,50,64,8,20,24
Switzerland,4,12,24,13,21,40,101,112,9,11,28,60,16,10,54,94,21,13,22,10,0,29,4,6,82,20,42,8,9,14
Syria,0,0,0,0,0,4,4,5,0,1,1,3,2,0,4,3,0,0,2,0,0,0,0,0,4,1,3,1,1,0
Taiwan,0,0,7,1,2,5,11,22,0,1,5,8,5,1,8,17,1,1,5,0,0,3,0,0,6,0,9,0,1,1
Tajikistan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Thailand,0,0,6,5,2,11,11,19,3,1,7,15,6,2,9,13,2,4,11,1,0,2,1,1,18,5,11,2,1,6
Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Trinidad & Tobago,1,1,1,1,1,1,1,2,1,0,1,2,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,2,0
Tunisia,1,0,0,1,0,1,6,7,2,0,4,8,0,1,4,4,2,2,2,0,0,1,0,0,4,4,1,0,1,0
Turkey,0,4,20,13,8,41,68,74,2,7,26,44,16,1,35,40,9,14,16,4,1,15,3,5,41,20,27,6,11,7
Turkmenistan,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Uganda,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,1,0
Ukraine,5,6,15,7,10,23,42,74,6,2,27,48,17,5,30,39,7,13,22,9,0,23,0,4,39,7,17,3,4,5
United Arab Emirates,0,2,1,3,0,5,5,15,2,1,9,6,4,0,9,10,0,1,4,0,0,2,3,1,9,7,3,4,5,3
United Kingdom,36,134,182,94,132,283,441,838,127,44,224,444,152,54,361,560,115,96,235,75,8,138,24,36,495,291,201,74,122,96
United States,97,217,496,286,290,724,1037,1821,212,99,504,991,398,152,530,1343,321,266,607,214,36,292,60,105,1109,577,648,145,161,172
Uruguay,0,1,4,3,6,4,8,13,2,0,9,10,2,1,2,11,0,3,10,1,0,6,0,1,9,4,4,3,2,2
Uzbekistan,0,0,1,0,0,1,0,1,0,0,1,2,1,0,2,1,0,0,1,0,0,0,0,0,2,3,1,0,0,0
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vatican City,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Venezuela,0,0,1,2,2,6,5,12,2,0,7,8,1,0,9,10,1,3,8,0,0,2,0,0,8,3,4,1,3,1
Vietnam,2,1,4,6,4,9,18,20,2,1,4,11,6,0,16,15,2,4,5,1,0,1,0,0,10,4,11,1,4,2
Zambia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Zimbabwe,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
