Country,Employed_full_time,student,Freelance_Contractor,Employed_part_time,Unemployed,Prefer not to disclose,Other,Retired
Lithuania,45,8,3,4,0,0,1,0
Luxembourg,2,3,0,0,0,0,1,0
Macedonia,12,4,5,1,0,1,0,0
Madagascar,1,1,0,1,0,1,0,0
Malaysia,39,5,7,1,2,1,1,0
Maldives,0,2,0,0,0,0,0,0
Malta,8,4,1,0,1,0,0,0
Mauritania,1,0,0,0,0,0,0,0
Mauritius,2,1,0,0,0,0,0,0
Mexico,89,14,20,13,3,2,2,0
Moldova,5,1,2,0,0,0,0,0
Mongolia,1,1,1,0,0,0,0,0
Montenegro,2,0,0,0,0,0,0,0
Morocco,5,3,2,1,1,0,1,0
Mozambique,1,0,0,0,0,0,0,0
Myanmar,9,1,0,0,0,0,0,0
Namibia,0,0,1,0,0,0,0,0
Nepal,14,3,4,3,0,1,0,0
Netherlands,300,110,52,43,9,5,12,1
New Zealand,91,24,16,9,0,3,2,1
Nicaragua,5,0,0,1,0,0,0,0
Nigeria,10,4,2,1,1,0,0,0
Norway,106,21,4,1,1,0,3,0
Oman,1,1,0,0,0,0,0,0
Other,1,0,1,0,0,0,1,0
Pakistan,67,15,9,3,0,2,2,0
Panama,3,1,1,0,0,0,0,0
Paraguay,3,2,1,1,0,0,0,0
Peru,17,3,5,2,0,0,0,0
Philippines,35,20,8,6,2,0,1,0
Poland,359,116,89,49,20,4,8,0
Portugal,106,48,12,6,5,1,4,0
Qatar,2,0,0,0,0,1,0,0
Romania,111,12,19,14,3,2,1,1
Russia,351,44,51,33,20,7,2,0
Rwanda,0,1,0,0,0,0,0,0
San Marino,0,0,1,0,0,0,0,0
Saudi Arabia,15,4,1,0,1,0,1,0
Senegal,1,0,0,0,0,0,0,0
Serbia,42,21,5,1,4,1,1,0
Sierra Leone,0,0,0,1,0,0,0,0
Singapore,46,7,3,0,0,2,0,0
Slovakia,20,12,15,4,1,1,0,0
Slovenia,32,17,14,3,1,1,0,0
Solomon Islands,0,0,0,1,0,0,0,0
Somalia,1,0,1,0,0,0,0,0
South Africa,89,6,16,0,0,0,2,0
South Sudan,0,0,0,1,0,0,0,0
Spain,350,60,48,25,11,4,3,0
Sri Lanka,35,10,2,1,0,0,1,0
Sudan,1,0,0,1,0,0,0,0
Swaziland,2,0,1,0,0,0,0,0
Sweden,316,74,29,12,7,5,4,0
Switzerland,180,60,13,56,2,3,8,1
Syria,2,2,0,0,0,0,0,0
Taiwan,30,8,2,0,1,0,1,0
Tajikistan,1,0,0,0,0,0,0,0
Tanzania,0,1,1,0,0,0,0,0
Thailand,25,2,14,1,1,0,1,0
Togo,0,0,0,0,0,0,0,1
Trinidad & Tobago,3,0,2,0,0,0,0,0
Tunisia,13,2,0,2,0,1,0,0
Turkey,114,25,11,11,8,4,2,0
Turkmenistan,1,1,0,0,0,0,0,0
Uganda,2,0,0,0,1,0,0,0
Ukraine,132,13,16,4,4,0,1,1
United Arab Emirates,30,3,2,1,0,0,0,0
United Kingdom,1433,302,235,25,30,20,17,5
United States,3031,573,289,124,90,63,34,18
Uruguay,33,3,2,2,0,0,0,0
Uzbekistan,4,0,1,1,0,0,0,0
Vanuatu,0,0,0,0,0,0,0,0
Vatican City,0,1,0,0,0,0,0,0
Venezuela,15,9,4,2,0,0,0,1
Vietnam,37,6,6,4,2,0,2,0
Zambia,0,0,1,0,0,0,0,0
Zimbabwe,0,1,0,0,0,1,0,0
